InstrumentID,TradingDay,UpdateTime,UpdateMillisec,RefUpdateTime,RefUpdateMillisec,LastPrice,Volume,LastVolume,Turnover,LastTurnover,AskPrice5,AskPrice4,AskPrice3,AskPrice2,AskPrice1,BidPrice1,BidPrice2,BidPrice3,BidPrice4,BidPrice5,AskVolume5,AskVolume4,AskVolume3,AskVolume2,AskVolume1,BidVolume1,BidVolume2,BidVolume3,BidVolume4,BidVolume5,OpenInterest,UpperLimitPrice,LowerLimitPrice,HighestPrice,LowestPrice,PreClosePrice
SZ127080,20230619,13:19:00,000,13:19:00,474676,192.08500000,14172675,7900,2588844376.00000000,1516879.00000000,192.12800000,192.12500000,192.12000000,192.10000000,192.08500000,192.04500000,192.01200000,192.00300000,192.00000000,191.91400000,20,10,470,20,140,30,200,60,1330,200,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:19:03,000,13:19:03,485403,192.05800000,14177575,4900,2589785747.00000000,941371.00000000,192.21000000,192.20900000,192.19600000,192.19400000,192.19300000,192.10000000,192.05800000,192.04000000,192.02900000,192.01900000,30,40,160,40,70,70,80,160,210,200,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:19:06,000,13:19:06,489273,192.18400000,14179895,2320,2590231559.00000000,445812.00000000,192.24700000,192.24100000,192.24000000,192.23900000,192.20000000,192.18400000,192.12500000,192.11300000,192.10000000,192.08500000,40,10,330,80,120,330,20,100,120,70,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:19:09,000,13:19:09,497821,192.37500000,14192535,12640,2592663392.00000000,2431833.00000000,192.60000000,192.59900000,192.59400000,192.59100000,192.59000000,192.37500000,192.37400000,192.37200000,192.37100000,192.36900000,850,40,160,200,170,20,190,270,200,160,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:19:12,000,13:19:12,462756,192.34800000,14200215,7680,2594140537.00000000,1477145.00000000,192.35500000,192.35300000,192.34800000,192.33900000,192.33800000,192.19500000,192.19400000,192.19300000,192.18400000,192.12500000,230,60,40,120,40,70,30,910,710,240,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:19:15,000,13:19:15,487712,191.88000000,14217385,17170,2597439139.00000000,3298602.00000000,192.03400000,192.02800000,192.02700000,192.01200000,192.01100000,191.85400000,191.85000000,191.84500000,191.82200000,191.80000000,40,160,200,590,410,160,230,70,260,230,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:19:18,000,13:19:18,486201,192.04800000,14230575,13190,2599970970.00000000,2531831.00000000,192.06200000,192.05900000,192.05500000,192.04900000,192.04800000,191.94400000,191.92500000,191.91700000,191.90400000,191.90300000,60,20,80,30,540,120,80,210,180,30,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:19:21,000,13:19:21,486394,191.99900000,14236765,6190,2601158405.00000000,1187435.00000000,192.09900000,192.05800000,192.00100000,192.00000000,191.99900000,191.91100000,191.90600000,191.90500000,191.90000000,191.89800000,180,30,40,10,10,60,90,60,70,60,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:19:24,000,13:19:24,486730,192.05000000,14240155,3390,2601809530.00000000,651125.00000000,192.19300000,192.18400000,192.17700000,192.17000000,192.16500000,192.05100000,192.05000000,192.04900000,192.04800000,192.04000000,10,290,160,30,60,130,130,30,600,50,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:19:27,000,13:19:27,485143,192.11600000,14244495,4340,2602643206.00000000,833676.00000000,192.26000000,192.23200000,192.23000000,192.22800000,192.22700000,192.11600000,192.11000000,192.05900000,192.04800000,192.01100000,60,10,30,160,70,90,150,60,70,120,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
