BeginTime: 11:13:16
2024-09-17 11:13:23 [INFO] [live_tarding_data_simulator.cpp:172 Init] Order: 803210
2024-09-17 11:13:23 [INFO] [live_tarding_data_simulator.cpp:173 Init] Transaction: 766489
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34227(09:30:27), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138230000000(9:30:30  0), refUpdateTimeSpan:1687138231302161(9:30:31 302161), orderPrice:171.100000, orderVolume:10, isBuy:1, askOrderID:3690, bidOrderID:84833, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34230(09:30:30), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138233000000(9:30:33  0), refUpdateTimeSpan:1687138233024025(9:30:33 24025), orderPrice:171.111000, orderVolume:10, isBuy:1, askOrderID:88968, bidOrderID:89249, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34233(09:30:33), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138236000000(9:30:36  0), refUpdateTimeSpan:1687138236024174(9:30:36 24174), orderPrice:171.253000, orderVolume:10, isBuy:0, askOrderID:92330, bidOrderID:92301, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34236(09:30:36), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138239010000(9:30:39  10), refUpdateTimeSpan:1687138239027675(9:30:39 27675), orderPrice:0.000000, orderVolume:160, isBuy:0, askOrderID:94967, bidOrderID:0, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34239(09:30:39), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138242030000(9:30:42  30), refUpdateTimeSpan:1687138242042445(9:30:42 42445), orderPrice:0.000000, orderVolume:150, isBuy:1, askOrderID:0, bidOrderID:65379, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34242(09:30:42), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138245000000(9:30:45  0), refUpdateTimeSpan:1687138245012947(9:30:45 12947), orderPrice:171.234000, orderVolume:10, isBuy:1, askOrderID:93488, bidOrderID:102988, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34245(09:30:45), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138248040000(9:30:48  40), refUpdateTimeSpan:1687138248067834(9:30:48 67834), orderPrice:171.100000, orderVolume:10, isBuy:0, askOrderID:106690, bidOrderID:102560, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34248(09:30:48), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138251410000(9:30:51  410), refUpdateTimeSpan:1687138251438084(9:30:51 438084), orderPrice:171.101000, orderVolume:10, isBuy:1, askOrderID:109887, bidOrderID:110410, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34251(09:30:51), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138254000000(9:30:54  0), refUpdateTimeSpan:1687138254013104(9:30:54 13104), orderPrice:170.945000, orderVolume:10, isBuy:1, askOrderID:113080, bidOrderID:113275, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34254(09:30:54), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138257080000(9:30:57  80), refUpdateTimeSpan:1687138257095432(9:30:57 95432), orderPrice:170.977000, orderVolume:20, isBuy:1, askOrderID:116027, bidOrderID:116245, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34257(09:30:57), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138260300000(9:31:0  300), refUpdateTimeSpan:1687138260328660(9:31:0 328660), orderPrice:0.000000, orderVolume:30, isBuy:1, askOrderID:0, bidOrderID:52185, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34260(09:31:00), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138263240000(9:31:3  240), refUpdateTimeSpan:1687138263267667(9:31:3 267667), orderPrice:170.315000, orderVolume:10, isBuy:0, askOrderID:123327, bidOrderID:121864, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34263(09:31:03), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138266050000(9:31:6  50), refUpdateTimeSpan:1687138266069941(9:31:6 69941), orderPrice:0.000000, orderVolume:40, isBuy:0, askOrderID:125964, bidOrderID:0, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34266(09:31:06), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138269080000(9:31:9  80), refUpdateTimeSpan:1687138269103007(9:31:9 103007), orderPrice:0.000000, orderVolume:10, isBuy:0, askOrderID:125360, bidOrderID:0, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34269(09:31:09), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138272020000(9:31:12  20), refUpdateTimeSpan:1687138272047478(9:31:12 47478), orderPrice:0.000000, orderVolume:70, isBuy:1, askOrderID:0, bidOrderID:136090, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34272(09:31:12), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138275030000(9:31:15  30), refUpdateTimeSpan:1687138275055742(9:31:15 55742), orderPrice:170.355000, orderVolume:30, isBuy:0, askOrderID:140501, bidOrderID:140405, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34275(09:31:15), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138278020000(9:31:18  20), refUpdateTimeSpan:1687138278046669(9:31:18 46669), orderPrice:169.802000, orderVolume:100, isBuy:0, askOrderID:144009, bidOrderID:143123, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34278(09:31:18), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138281000000(9:31:21  0), refUpdateTimeSpan:1687138281017213(9:31:21 17213), orderPrice:169.610000, orderVolume:40, isBuy:1, askOrderID:146703, bidOrderID:147004, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34281(09:31:21), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138284020000(9:31:24  20), refUpdateTimeSpan:1687138284037667(9:31:24 37667), orderPrice:169.643000, orderVolume:80, isBuy:0, askOrderID:150429, bidOrderID:150411, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34284(09:31:24), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138287040000(9:31:27  40), refUpdateTimeSpan:1687138287070042(9:31:27 70042), orderPrice:170.109000, orderVolume:80, isBuy:1, askOrderID:150469, bidOrderID:153615, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34287(09:31:27), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138290000000(9:31:30  0), refUpdateTimeSpan:1687138290014408(9:31:30 14408), orderPrice:0.000000, orderVolume:10, isBuy:1, askOrderID:0, bidOrderID:152721, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34290(09:31:30), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138293350000(9:31:33  350), refUpdateTimeSpan:1687138293374926(9:31:33 374926), orderPrice:0.000000, orderVolume:90, isBuy:0, askOrderID:147441, bidOrderID:0, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34293(09:31:33), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138296010000(9:31:36  10), refUpdateTimeSpan:1687138296021825(9:31:36 21825), orderPrice:170.100000, orderVolume:70, isBuy:1, askOrderID:161803, bidOrderID:162256, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34296(09:31:36), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138299460000(9:31:39  460), refUpdateTimeSpan:1687138299472421(9:31:39 472421), orderPrice:169.931000, orderVolume:10, isBuy:1, askOrderID:165164, bidOrderID:165210, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34299(09:31:39), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138302370000(9:31:42  370), refUpdateTimeSpan:1687138302384005(9:31:42 384005), orderPrice:0.000000, orderVolume:10, isBuy:0, askOrderID:31255, bidOrderID:0, isCancel:1], pendingTransactions: 0
